id	name	BirthMonth	BirthYear	BirthDay
185	Barrie Bowra	MARCH	1999	4
186	Hadrian Slateford	DECEMBER	2002	16
187	Dane Sall	NOVEMBER	2000	6
188	Masha Viccary	SEPTEMBER	2001	4
189	Rossie Pickthorne	DECEMBER	1999	6
190	Tracee Gammet	OCTOBER	2002	22
191	Vally Correa	MARCH	2001	16
192	Redd Adriaan	MAY	1999	1
193	Daryn Bulford	MAY	2002	5
194	Tami Spears	DECEMBER	2002	24
195	Geralda Offord	DECEMBER	1999	4
196	Mylo Light	DECEMBER	2001	8
197	Birgitta Pennington	APRIL	2000	22
198	Sanford Tilte	MARCH	2002	25
199	Blair Lydster	MAY	2002	14
200	Rafael Eck	NOVEMBER	2000	7
201	Shalna Zamorrano	OCTOBER	2002	22
202	Gabbie Saffran	FEBRUARY	2001	3
203	Locke Weald	FEBRUARY	2001	5
204	Pincas Ambrogetti	DECEMBER	2000	11
205	Livy Kirkness	JUNE	2002	21
206	Heath Dawidsohn	DECEMBER	2002	11
207	Pavla Laurence	APRIL	1999	3
208	Konrad Gwilt	MARCH	1999	12
209	Wait Bernardotte	AUGUST	2002	4
210	Kellsie Lettson	OCTOBER	2002	16
211	Perl Trevains	APRIL	2002	18
212	Xaviera Hinckley	MARCH	2002	17
213	Barbe Pace	MARCH	2001	4
214	Augusta Ondrusek	MARCH	2002	25
215	Ches Jiruch	SEPTEMBER	2001	1
216	Kellsie Poleykett	AUGUST	2001	6
217	Armand Storcke	SEPTEMBER	2000	6
218	Aurora Kellert	NOVEMBER	1999	23
219	Dore Kemball	NOVEMBER	1999	13
220	Julissa Donovan	MAY	1999	5
221	Camella Kohlerman	MAY	1999	20
222	Dulci Hanstock	JANUARY	1999	6
223	Korella Dawes	AUGUST	2000	8
224	Andie Gecke	AUGUST	2000	21
225	Erny Seaborn	FEBRUARY	1999	3
226	Carmita McVittie	OCTOBER	2000	5
227	Dania Darbishire	OCTOBER	2000	4
228	Milka Filkov	JUNE	2002	12
229	Annelise Tremellan	SEPTEMBER	2001	25
230	Katinka Kleinholz	MARCH	2002	17
231	Rozina McDonell	JANUARY	1999	15
232	Carson Grent	NOVEMBER	2002	20
233	Neville Tranmer	MARCH	1999	2
234	Wash Capron	NOVEMBER	2002	24
235	Lauraine Andriesse	DECEMBER	2001	14
236	Sybila Brugh	MARCH	2002	9
237	Knox Jedryka	JANUARY	2000	13
238	Querida Fairlaw	OCTOBER	1999	7
239	Britteny Folca	APRIL	1999	15
240	Marmaduke Ernke	AUGUST	1999	13
241	Silvio Stenet	APRIL	2002	4
242	Ingrid Brazier	OCTOBER	2000	2
243	Towney Malcolm	APRIL	2001	14
244	Wendye Spilsburie	APRIL	2001	7
245	Sarene Marler	FEBRUARY	1999	7
246	Ki Kloser	APRIL	2001	11
247	Myrtie Touhig	DECEMBER	1999	11
248	Zarah Barnicott	JUNE	1999	1
249	Kathe Forlong	JUNE	2001	9
250	Ciro Cicetti	APRIL	1999	15
251	Rosie Seath	JANUARY	2001	3
252	Morganne Arden	FEBRUARY	1999	16
253	Elvera McMahon	JUNE	2002	12
254	Christye Takis	OCTOBER	2002	13
255	Hamlin Hanvey	NOVEMBER	2001	8
256	Sutton Benjefield	SEPTEMBER	2000	22
257	Teodora McKerron	MARCH	2002	2
258	Carlin Gabbidon	MAY	2002	25
259	Tracy Allflatt	FEBRUARY	2000	8
260	Orlando Sirman	MARCH	2001	21
261	Larry Vivyan	JANUARY	1999	25
262	Dale Menat	APRIL	2001	19
263	Aldwin Drake	APRIL	2002	17
264	Rebe McFadyen	JUNE	2000	8
265	Ethe Kearley	OCTOBER	2001	13
266	Ilysa Gilluley	AUGUST	1999	12
267	Carmine MacCallester	FEBRUARY	2000	2
268	Hewe Bestar	OCTOBER	2000	21
269	Carmina Hazleton	SEPTEMBER	2002	7
270	Johanna Linscott	JULY	2002	23
271	Bili Dougliss	NOVEMBER	2001	8
272	Irina Carnson	MARCH	2001	3
273	Elysia Covington	JANUARY	2002	3
274	Esteban Cawte	FEBRUARY	1999	4
275	Belicia Rushbury	AUGUST	1999	14
276	Tiffanie Hulstrom	APRIL	2001	9
277	Rodger Iacovuzzi	FEBRUARY	2002	24
278	Isadora Jenney	APRIL	2001	3
279	Stormi Jeggo	NOVEMBER	2001	19
280	Minerva Hillett	JANUARY	2002	19
281	Mia Johannesson	APRIL	1999	22
282	Wilhelmine Chastand	FEBRUARY	2002	7
283	Sonni Jellybrand	OCTOBER	2000	13
284	Paxton Gosswell	OCTOBER	2000	14
285	Valaria Mead	JANUARY	2001	14
286	Chris Patullo	OCTOBER	2000	1
287	Vasilis Handrek	AUGUST	2001	23
288	Lanie Chinnock	APRIL	2000	21
289	Shellie MacDiarmid	SEPTEMBER	2001	16
290	Darwin Lydster	MAY	1999	22
291	Huntlee Rowcastle	JUNE	1999	23
292	Kelley Shrimpling	JULY	2001	9
293	Boone Ewart	DECEMBER	2002	19
294	Hal Cudworth	OCTOBER	2002	7
295	Gusella Layburn	AUGUST	2002	9
296	Chan Sabban	JUNE	1999	25
297	Vanya McAnalley	JUNE	2002	17
298	Hadria Astin	JANUARY	2001	19
299	Shep Sabater	JULY	2001	2
300	Malissa Townley	AUGUST	2001	5
301	Penn Plampin	APRIL	2000	4
302	Hillel Domico	JUNE	1999	21
303	Sutherlan Pavel	MARCH	1999	1
304	Vyky Mackelworth	AUGUST	1999	2
305	Evonne Lardier	NOVEMBER	2002	5
306	Eveline Gadie	DECEMBER	2002	5
307	Idell Battson	JULY	1999	13
308	Hanan Buckham	NOVEMBER	2001	17
309	Lethia Caukill	SEPTEMBER	1999	13
310	Cassey Frickey	FEBRUARY	2000	13
311	Sibby Tolputt	DECEMBER	2001	5
312	Katalin Breming	MARCH	2002	12
313	Yance Whitesel	JANUARY	1999	7
314	Gabriella Goodacre	MAY	1999	20
315	Petrina Shirley	AUGUST	2000	22
316	Magda Feldklein	NOVEMBER	2001	12
317	Serena Fipp	JUNE	2002	22
318	Linnell MacCaull	JULY	2002	22
319	Paige Oggers	AUGUST	2001	16
320	Colby Gravells	DECEMBER	2000	11
321	Analiese Munday	JUNE	1999	15
322	Dagmar Brazier	MARCH	2000	24
323	Gamaliel McGinnis	NOVEMBER	2001	15
324	Ichabod Angeli	APRIL	2001	25
325	Lodovico Elcoate	MAY	2002	1
326	Nadean Darlington	JUNE	2002	4
327	Illa Siuda	JANUARY	2000	16
328	Danita Anan	MAY	2002	16
329	Lowrance Meriguet	APRIL	1999	14
330	Ronny Gwinnett	MARCH	2000	25
331	Charlotta Serrell	NOVEMBER	1999	16
332	Alfy Barraclough	MARCH	2001	14
333	Jonathan Gahagan	MARCH	1999	20
334	Benedicto Irons	AUGUST	2000	4
335	Lindsey Staten	SEPTEMBER	2002	21
336	Claribel Lawrenz	NOVEMBER	2000	18
337	Nick Marzella	MARCH	1999	12
338	Brew Asken	MAY	2001	16
339	Nanette Gierardi	FEBRUARY	2002	14
340	Debbi Seymour	JANUARY	2002	12
341	Nana Hammell	MARCH	2001	2
342	Shoshana McCorkindale	JULY	1999	19
343	Bryce Tatum	APRIL	1999	5
344	Shalom MacKaig	MARCH	1999	6
345	Ashia Thirlaway	JUNE	2001	8
346	Eldredge Ryhorovich	MARCH	2002	16
347	Yolanthe Petrulis	AUGUST	1999	17
348	Cy Cantrell	NOVEMBER	2002	13
349	Rubetta Lockhead	NOVEMBER	2001	11
350	Tove Shoulder	DECEMBER	1999	23
351	Fawn Gosforth	SEPTEMBER	2001	8
352	Elizabeth Bradburne	JUNE	2001	4
353	Alwyn Pavinese	OCTOBER	1999	22
354	Dwain Knightsbridge	AUGUST	2002	21
355	Correy Bettenson	JUNE	2002	18
356	Vally Kearle	AUGUST	2001	18
357	Wilbur Judkin	APRIL	1999	9
358	Benton Turbitt	OCTOBER	1999	15
359	Hugues Meus	AUGUST	2000	9
360	Simmonds Dee	AUGUST	2001	10
361	Chanda Finlason	JUNE	2001	15
362	Adora Power	MARCH	2000	1
363	Lorna Huscroft	APRIL	2002	6
364	Lyda Redihough	APRIL	1999	14
365	Alysa Aberchirder	JANUARY	2002	6
366	Nathanael Malarkey	DECEMBER	2002	13
367	Bobbie Coggings	JUNE	2001	9
368	Earle Argontt	APRIL	1999	13
369	Persis Critcher	SEPTEMBER	1999	16
370	Moises Kira	NOVEMBER	2002	22
371	Karalynn Greenroa	APRIL	2000	8
372	Lilyan Capinetti	DECEMBER	1999	4
373	Shell Rickaby	JANUARY	2000	19
374	Gale Merigon	AUGUST	1999	13
375	Bari Patman	NOVEMBER	2001	3
376	Alfonse Cosgrove	MAY	1999	10
377	Tanya Mulderrig	JANUARY	1999	10
378	Lukas Leser	NOVEMBER	2000	16
379	Godfry Jamieson	SEPTEMBER	2002	10
380	Rollie Stanbra	FEBRUARY	2000	10
381	Bernie Comerford	MAY	1999	5
382	Reilly Froggatt	APRIL	1999	10
383	Vinson Nutley	NOVEMBER	1999	1
384	Trina Rawsthorn	AUGUST	2002	18
385	Penrod Sundin	NOVEMBER	2000	7
386	Pooh Robbeke	SEPTEMBER	2000	16
387	Fields Shernock	DECEMBER	2001	10
388	Venus Keddie	JULY	2002	17
389	Kassandra Wittman	SEPTEMBER	2000	14
390	Juli Raeburn	APRIL	2001	2
391	Leon Mattessen	MARCH	1999	14
392	Angelita Colvine	MAY	2001	7
393	Tuesday Reeken	MAY	2002	2
394	Melinda Dimock	JUNE	2002	11
395	Wallie Tomet	APRIL	2001	22
396	Briant Lusher	JANUARY	2002	11
397	Thornton Layson	FEBRUARY	2000	17
398	Kimble Denyukin	JUNE	2002	11
399	Talbert Dirkin	OCTOBER	2000	18
400	Pearce Langwade	APRIL	1999	7
401	Cherianne Hamblen	JANUARY	2002	8
402	Austine Hagstone	OCTOBER	1999	13
403	Melisandra Fassam	APRIL	2002	7
404	Caril Allabush	NOVEMBER	2000	24
405	Galen Vigrass	JULY	2000	3
406	Gasper McKeeman	SEPTEMBER	2000	3
407	Burl Sweett	SEPTEMBER	2000	4
408	Herc Van der Spohr	JULY	1999	24
409	Brianna Kinleyside	MAY	2000	5
410	Norbie Krysiak	AUGUST	1999	11
411	Wolfgang Olanda	MARCH	2002	14
412	Dimitri Ottiwill	JULY	1999	24
413	Catlin McGonigal	FEBRUARY	2002	23
414	Devin Crawford	NOVEMBER	2001	1
415	Sibbie Sellek	OCTOBER	2002	4
416	Berri Piatkowski	JANUARY	2002	16
417	Lezley Brigginshaw	JANUARY	2000	22
418	Shurlock Cutford	AUGUST	2002	5
419	Winn McCreery	SEPTEMBER	2002	3
420	Enid Barstock	JULY	2001	2
421	Ebony Speed	NOVEMBER	2001	7
422	Rodd Bezarra	OCTOBER	1999	15
423	Arleta Braganza	JANUARY	2000	3
424	Corette Maskall	FEBRUARY	2000	7
425	Charleen Carolan	MARCH	2000	14
426	Isacco Dahlborg	SEPTEMBER	2000	23
427	Georgianna Bohlin	JULY	2000	7
428	Maribel Dimitriev	FEBRUARY	2001	22
429	Toby Reams	AUGUST	2000	3
430	Gayler Neaverson	OCTOBER	2001	22
431	Ruthanne Peever	JUNE	2002	15
432	Katerine Tozer	JUNE	2001	11
433	Everard Garrard	OCTOBER	1999	5
434	Pam Coase	SEPTEMBER	2002	20
435	Sascha Troake	JUNE	1999	24
436	Ahmad Moxson	NOVEMBER	1999	4
437	Cecilla Yell	JANUARY	2001	3
438	Jenny Goodday	JULY	1999	15
439	Roselin Albany	AUGUST	2002	25
440	Cross Christmas	DECEMBER	2000	16
441	Lydon Leveret	JANUARY	2000	22
442	Jarrod Iffe	OCTOBER	2002	13
443	Lynea Godsmark	OCTOBER	1999	11
444	Ed Petrecz	MARCH	2000	8
445	Janean Divers	JANUARY	2000	14
446	Abe Boarer	NOVEMBER	1999	20
447	Desiree Ravenshaw	OCTOBER	2002	25
448	Rickard Harland	JANUARY	2002	1
449	Arly Faraker	JUNE	2000	23
450	Vivyan Perillo	MARCH	1999	18
451	Anna-diana Melendez	JULY	2002	20
452	Carlie Mundy	MARCH	2000	8
453	Maridel Betun	NOVEMBER	2001	2
454	Jeffrey McReynold	NOVEMBER	1999	14
455	Sonnie Menlow	DECEMBER	2002	15
456	Taffy Casarini	OCTOBER	1999	20
457	Nolly Izard	AUGUST	2000	18
458	Aylmer Davisson	OCTOBER	2002	14
459	Lotta Varley	NOVEMBER	2000	7
460	Sib Blackledge	SEPTEMBER	2000	22
461	Grant Nolleth	JANUARY	2002	25
462	Freemon Longthorne	JUNE	1999	1
463	Fonz Petruska	JULY	2002	7
464	Errol Scawn	AUGUST	1999	19
465	Nanette Steutly	DECEMBER	2002	18
466	Tamma Fudge	FEBRUARY	2000	11
467	Freeland Gibling	AUGUST	2002	17
468	Frazer Decayette	JUNE	2000	15
469	Norrie Fenelon	APRIL	2001	12
470	Guthrey Killiner	JUNE	2001	23
471	Miltie Jeffry	OCTOBER	2000	23
472	Allsun Bolte	NOVEMBER	2001	19
473	Pearle Hedderly	JULY	2002	19
474	Molli Meany	AUGUST	2002	16
475	Layne Bendel	MAY	2000	24
476	Kellyann Allday	APRIL	1999	20
477	Lindsay Swepson	JUNE	2000	11
478	Sandy Shimoni	JUNE	1999	8
479	Kesley Lantry	JULY	2000	20
480	Bengt Malthouse	JANUARY	2000	3
481	Reamonn Spratling	JANUARY	2002	18
482	Ellette Plaskitt	SEPTEMBER	1999	1
483	Branden Philbrick	JUNE	2000	5
484	Jan Dufoure	AUGUST	2002	25
485	Timmie Kimber	SEPTEMBER	2001	15
486	Tuck Cockerill	JANUARY	2002	4
487	Danita Conisbee	JUNE	2001	25
488	Adham Maden	JUNE	2001	12
489	Jessamyn Sommerly	JUNE	2001	1
490	Winifield Durden	OCTOBER	2002	11
491	Janenna Brasener	JULY	1999	10
492	Karisa Popland	MAY	1999	15
493	Jorry Blazek	JANUARY	1999	20
494	Cynthea Cecely	FEBRUARY	2001	4
495	Kerry Antonnikov	FEBRUARY	2002	15
496	Nerissa Lyddon	DECEMBER	1999	5
497	Manon Uren	APRIL	2000	18
498	Kacie Tocqueville	JANUARY	2001	14
499	Eadith Winterbotham	JULY	2000	11
500	Herta Keerl	FEBRUARY	2001	14
501	Mendy Devey	SEPTEMBER	2001	2
502	Dorelia Kilgrove	APRIL	1999	6
503	Elisha Dreher	MAY	1999	8
504	Milzie Patrie	OCTOBER	2000	11
505	Percy Tunbridge	JULY	1999	10
506	Pascal Mattedi	FEBRUARY	2002	2
507	Darci Gierhard	FEBRUARY	1999	14
508	Evey Hume	NOVEMBER	1999	14
509	Brannon Helstrip	JUNE	2001	14
510	Shirleen Marke	MAY	2001	12
511	Manfred Ligertwood	AUGUST	2000	9
512	Reamonn Vickar	SEPTEMBER	1999	15
513	Tabitha Admans	SEPTEMBER	2002	13
514	Shelley Fassan	JANUARY	2001	17
515	Selie Meus	OCTOBER	1999	25
516	Saleem Grube	FEBRUARY	1999	9
517	Abie Tersay	SEPTEMBER	2000	21
518	Ferrel Caulcott	MARCH	2000	19
519	Fax Roisen	JULY	1999	20
520	Jess Birdall	AUGUST	2001	16
521	Adda Benoist	JANUARY	2000	15
522	Alexandre Sargant	DECEMBER	2002	21
523	Ivie Arnaldy	APRIL	2000	1
524	Paten Greetham	DECEMBER	1999	1
525	Brennen MacKibbon	JUNE	2001	1
526	Kris Ower	MARCH	1999	2
527	Emma Fritzer	OCTOBER	2000	24
528	Dionis Hanretty	MAY	2002	6
529	Janean Hacon	MARCH	2000	9
530	Valene Paunsford	OCTOBER	1999	12
531	Esther Sabberton	MAY	2001	19
532	Kerri Piggrem	FEBRUARY	2001	6
533	Arly Shory	MARCH	2002	8
534	Morly Giottoi	JULY	2002	8
535	Craig Aitkenhead	MARCH	2001	10
536	Benedikt Oger	NOVEMBER	2000	21
537	Leland McQuin	OCTOBER	1999	9
538	Reggi Bedin	JULY	2001	2
539	Sky Shawley	SEPTEMBER	1999	16
540	Ruperta Minifie	AUGUST	2002	6
541	Lianna O'Murtagh	AUGUST	2000	3
542	Matthieu Bransom	APRIL	2001	25
543	Roze Petrolli	DECEMBER	2002	6
544	Dewitt Cornwell	MARCH	2000	16
545	Gerty Hischke	MAY	2001	17
546	Derrek Newick	MAY	2001	24
547	Karole Frangello	MARCH	2002	24
548	Erie Duding	DECEMBER	1999	23
549	Veronike Orviss	OCTOBER	2000	24
550	Kelcy Sedgeman	NOVEMBER	1999	15
551	Glyn Fawckner	APRIL	2001	19
552	Maura Daal	JULY	2000	8
553	Avis De Cleen	JANUARY	2002	1
554	Katrine Bossel	OCTOBER	1999	21
555	Sophi Ivers	JANUARY	2001	2
556	Tiffy Itscovitz	AUGUST	2001	6
557	Kathi Knotton	AUGUST	2001	24
558	Wells Noble	JANUARY	1999	3
559	Lodovico Schade	APRIL	2000	11
560	Adriano St Leger	JUNE	2000	16
561	Berton Fassan	NOVEMBER	1999	18
562	Harmon Woodfin	JUNE	2000	23
563	Meredith Hecks	APRIL	2001	13
564	Carlene Witton	MAY	2001	13
565	Karia Celier	DECEMBER	2002	6
566	Maxim Norewood	FEBRUARY	2000	5
567	Stevie Deniskevich	JANUARY	1999	4
568	Tommy Gertray	JULY	2001	3
569	Nevins Lymer	FEBRUARY	2002	11
570	Ara Folbig	NOVEMBER	2000	20
571	Crawford McInnerny	JANUARY	1999	18
572	Correy Blaza	JUNE	1999	22
573	Jerry Inker	MARCH	1999	24
574	Darrell Bendix	MARCH	2001	19
575	Lenette McLane	FEBRUARY	1999	15
576	Tamiko Dowsey	DECEMBER	2001	17
577	Bob Smitherham	SEPTEMBER	2000	4
578	Toddie Danielkiewicz	NOVEMBER	2000	7
579	Dimitry Romei	MAY	1999	17
580	Nils Rawlinson	OCTOBER	1999	25
581	Ferguson Prott	MARCH	2002	6
582	Nolan Laise	MAY	2001	25
583	Emmy Radloff	DECEMBER	1999	25
584	Nollie Baggott	MAY	2002	23
585	Jared Videan	MARCH	2002	15
586	Chantal Sinisbury	OCTOBER	2000	25
587	Darius Joinsey	AUGUST	1999	18
588	Keelby Fusedale	MAY	2000	18
589	Heddie Marie	APRIL	1999	10
590	Karine Thorbon	SEPTEMBER	1999	20
591	Ninon De Bischof	JULY	2001	24
592	Al Cookson	JUNE	2001	24
593	Roobbie Tassell	SEPTEMBER	2000	22
594	Roy Pittendreigh	SEPTEMBER	1999	10
595	Aurelea D'Enrico	APRIL	1999	4
596	Tammie Lewnden	SEPTEMBER	2001	13
597	Llywellyn Mebs	NOVEMBER	2002	17
598	Janela Jackman	NOVEMBER	1999	18
599	Wendeline Hullah	JANUARY	2002	24
600	Deborah Ryrie	NOVEMBER	2000	10
601	Hasheem Desquesnes	JULY	1999	17
602	Cassius Butler	MARCH	1999	17
603	Susy Reeme	JANUARY	2000	15
604	Margette Fehely	FEBRUARY	1999	2
605	Jeniece Cribbins	JANUARY	2002	22
606	Chelsey Simmens	NOVEMBER	2000	5
607	Barbe McGavin	DECEMBER	1999	4
608	Curran McCurdy	MAY	2001	10
609	Pembroke Maciak	OCTOBER	1999	25
610	Kimberlyn Hundell	MARCH	1999	21
611	Clare Kivelle	OCTOBER	2001	11
612	Aurora Westmore	MARCH	2000	12
613	Krisha Garbutt	FEBRUARY	2001	14
614	Terence Wilbor	MAY	2000	20
615	Ginevra Guild	JUNE	2002	5
616	Granny Barns	FEBRUARY	1999	25
617	Rolland Govan	MAY	1999	12
618	Kayla Fones	SEPTEMBER	2000	2
619	Cami Mansour	MARCH	1999	4
